id,instrument,component,group,handle,order,prompt,prompt_fr,prompt_en,reverse,min_val,max_val,step,annotations,annotations_fr,annotations_en,type,widget,help_text,help_text_fr,help_text_en,validate,initial
210,jold-SIMS,Amotivation,1,sims-9,9,I do this activity but I am not sure if it is worth my time,Je fais cette activité mais je ne suis pas sûr qu'elle vaille le coup,I do this activity but I am not sure if it is worth my time,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
209,jold-SIMS,External regulation,1,sims-8,8,Because I feel that I have to do it,Parce que c'est quelque chose que je dois faire,Because I feel that I have to do it,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
208,jold-SIMS,Identified regulation,1,sims-7,7,Because I believe that this game is important for me,Parce que je crois que ce jeu est important pour moi,Because I believe that this game is important for me,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
207,jold-SIMS,Intrinsic motivation,1,sims-6,6,Because I feel good when playing this game,Parce que je me sens bien quand je joue à ce jeu,Because I feel good when playing this game,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
206,jold-SIMS,Amotivation,1,sims-5,5,I don’t know; I don’t see what this game brings me,"Je ne sais pas, je ne vois pas ce que ce jeu m'apporte",I don’t know; I don’t see what this game brings me,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
205,jold-SIMS,External regulation,1,sims-4,4,Because I am supposed to do it,Parce que je sens que je suis supposé la faire,Because I am supposed to do it,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
204,jold-SIMS,Identified regulation,1,sims-3,3,It is for my own good,C'est pour mon propre bien,It is for my own good,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
203,jold-SIMS,Intrinsic motivation,1,sims-2,2,Because this game is fun,Parce que ce jeu est amusant,Because this game is fun,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
202,jold-SIMS,Amotivation,2,sims-18,18,"There may be good reasons for practicing this game, but personally I don’t see any","Il peut y avoir de bonnes raisons de jouer à ce jeu, mais personnellement je n'en vois aucune","There may be good reasons for practicing this game, but personally I don’t see any",False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
201,jold-SIMS,External regulation,2,sims-17,17,Because I don’t have any choice,Parce que je sens que je n'ai pas d'autres choix que de la faire,Because I don’t have any choice,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
200,jold-SIMS,Identified regulation,2,sims-16,16,Because I think that this activity is good for me,Parce que je trouve que faire cette activité est bon pour moi,Because I think that this activity is good for me,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
199,jold-SIMS,Intrinsic motivation,2,sims-15,15,Because I think that this activity is pleasant,Parce que je trouve cette activité agréable,Because I think that this activity is pleasant,False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
198,jold-SIMS,Amotivation,2,sims-14,14,"I keep practicing, but I am not sure I should continue","Je continue à m'entraîner, mais je ne suis pas sûr de devoir continuer","I keep practicing, but I am not sure I should continue",False,1,7,1,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,Pas du tout~Très peu~Un peu~Moyennement~Assez~Beaucoup~Exactement,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,integer,custom-likert,,,,,
